gen,elapsed_sec,evals_total,engine,metrics
133,0.24269986152648926,26800,"{'gen': 134, 'best_fitness': -0.6795382850970255, 'mean_fitness': -1.6756053949998273, 'pop_size': 200}",{}
134,0.24452567100524902,27000,"{'gen': 135, 'best_fitness': -0.40970011767500375, 'mean_fitness': -1.6747081086627305, 'pop_size': 200}",{}
135,0.24634695053100586,27200,"{'gen': 136, 'best_fitness': -0.533255280182456, 'mean_fitness': -1.7443641610472571, 'pop_size': 200}",{}
136,0.2481708526611328,27400,"{'gen': 137, 'best_fitness': -0.5158327897939721, 'mean_fitness': -1.756496300459114, 'pop_size': 200}",{}
137,0.249985933303833,27600,"{'gen': 138, 'best_fitness': -0.6683669898705132, 'mean_fitness': -1.7970711888118975, 'pop_size': 200}",{}
138,0.25174593925476074,27800,"{'gen': 139, 'best_fitness': -0.7154594193645578, 'mean_fitness': -1.8582718575862651, 'pop_size': 200}",{}
139,0.25350284576416016,28000,"{'gen': 140, 'best_fitness': -0.7020508962799809, 'mean_fitness': -1.9055538733737085, 'pop_size': 200}",{}
140,0.25532078742980957,28200,"{'gen': 141, 'best_fitness': -0.4696103904822945, 'mean_fitness': -1.9266578137470816, 'pop_size': 200}",{}
141,0.25713586807250977,28400,"{'gen': 142, 'best_fitness': -0.44499289352998117, 'mean_fitness': -1.8550335687487172, 'pop_size': 200}",{}
142,0.2589387893676758,28600,"{'gen': 143, 'best_fitness': -0.589558314149218, 'mean_fitness': -1.8681239394050693, 'pop_size': 200}",{}
143,0.26074862480163574,28800,"{'gen': 144, 'best_fitness': -0.585154100186761, 'mean_fitness': -1.8812806813551526, 'pop_size': 200}",{}
144,0.2624540328979492,29000,"{'gen': 145, 'best_fitness': -0.5376152184839815, 'mean_fitness': -1.8490945779659516, 'pop_size': 200}",{}
145,0.2642858028411865,29200,"{'gen': 146, 'best_fitness': -0.5027351787766499, 'mean_fitness': -1.7673235688491973, 'pop_size': 200}",{}
146,0.2665069103240967,29400,"{'gen': 147, 'best_fitness': -0.5106564895894787, 'mean_fitness': -1.792739019743843, 'pop_size': 200}",{}
147,0.26938796043395996,29600,"{'gen': 148, 'best_fitness': -0.5945877949032856, 'mean_fitness': -1.7610392246968345, 'pop_size': 200}",{}
148,0.27115893363952637,29800,"{'gen': 149, 'best_fitness': -0.7326261087032141, 'mean_fitness': -1.806356077513161, 'pop_size': 200}",{}
149,0.27289581298828125,30000,"{'gen': 150, 'best_fitness': -0.5875743237131005, 'mean_fitness': -1.845813391725572, 'pop_size': 200}",{}
150,0.2746157646179199,30200,"{'gen': 151, 'best_fitness': -0.535527226108253, 'mean_fitness': -1.9223669583675806, 'pop_size': 200}",{}
151,0.27632784843444824,30400,"{'gen': 152, 'best_fitness': -0.625464681391072, 'mean_fitness': -1.8345852868251382, 'pop_size': 200}",{}
152,0.2780337333679199,30600,"{'gen': 153, 'best_fitness': -0.8454704922773589, 'mean_fitness': -1.8741479189542118, 'pop_size': 200}",{}
153,0.2797408103942871,30800,"{'gen': 154, 'best_fitness': -0.6514450430308032, 'mean_fitness': -1.8862528958141715, 'pop_size': 200}",{}
154,0.281477689743042,31000,"{'gen': 155, 'best_fitness': -0.6424098835039804, 'mean_fitness': -1.8205057008672094, 'pop_size': 200}",{}
155,0.2831869125366211,31200,"{'gen': 156, 'best_fitness': -0.8846910742813067, 'mean_fitness': -1.8451787877372234, 'pop_size': 200}",{}
156,0.284909725189209,31400,"{'gen': 157, 'best_fitness': -0.5960141035745999, 'mean_fitness': -1.8659564673687625, 'pop_size': 200}",{}
157,0.2867398262023926,31600,"{'gen': 158, 'best_fitness': -0.7150787032825668, 'mean_fitness': -1.9277369031583393, 'pop_size': 200}",{}
158,0.288482666015625,31800,"{'gen': 159, 'best_fitness': -0.5655922611674494, 'mean_fitness': -1.9371979451775543, 'pop_size': 200}",{}
159,0.2901918888092041,32000,"{'gen': 160, 'best_fitness': -0.5792776400301988, 'mean_fitness': -1.8979347880989657, 'pop_size': 200}",{}
160,0.29200196266174316,32200,"{'gen': 161, 'best_fitness': -0.7440067912256226, 'mean_fitness': -1.8799766943195606, 'pop_size': 200}",{}
161,0.2937657833099365,32400,"{'gen': 162, 'best_fitness': -0.6250386883274044, 'mean_fitness': -1.8804277129981242, 'pop_size': 200}",{}
162,0.29547595977783203,32600,"{'gen': 163, 'best_fitness': -0.5258287339283816, 'mean_fitness': -1.8503972946386216, 'pop_size': 200}",{}
163,0.29729270935058594,32800,"{'gen': 164, 'best_fitness': -0.5096887554468552, 'mean_fitness': -1.8266454153807223, 'pop_size': 200}",{}
164,0.299069881439209,33000,"{'gen': 165, 'best_fitness': -0.4169867268390477, 'mean_fitness': -1.8105157269383665, 'pop_size': 200}",{}
165,0.30078792572021484,33200,"{'gen': 166, 'best_fitness': -0.6346737165850492, 'mean_fitness': -1.8080843183229995, 'pop_size': 200}",{}
166,0.30260562896728516,33400,"{'gen': 167, 'best_fitness': -0.5212344572029474, 'mean_fitness': -1.805768899640097, 'pop_size': 200}",{}
167,0.30436182022094727,33600,"{'gen': 168, 'best_fitness': -0.6687617467061124, 'mean_fitness': -1.850157004481003, 'pop_size': 200}",{}
168,0.3060648441314697,33800,"{'gen': 169, 'best_fitness': -0.781941040782797, 'mean_fitness': -1.8675911036762387, 'pop_size': 200}",{}
169,0.3078787326812744,34000,"{'gen': 170, 'best_fitness': -0.6144798110737848, 'mean_fitness': -1.871063544268729, 'pop_size': 200}",{}
170,0.3096587657928467,34200,"{'gen': 171, 'best_fitness': -0.6634376437496234, 'mean_fitness': -1.8681759913732676, 'pop_size': 200}",{}
171,0.31138086318969727,34400,"{'gen': 172, 'best_fitness': -0.667372576168779, 'mean_fitness': -1.873048592505383, 'pop_size': 200}",{}
172,0.31319689750671387,34600,"{'gen': 173, 'best_fitness': -0.6682861229611393, 'mean_fitness': -1.839223133260698, 'pop_size': 200}",{}
173,0.31502580642700195,34800,"{'gen': 174, 'best_fitness': -0.5409413705326346, 'mean_fitness': -1.7867797654775819, 'pop_size': 200}",{}
174,0.31676387786865234,35000,"{'gen': 175, 'best_fitness': -0.6466515794070834, 'mean_fitness': -1.850412062556857, 'pop_size': 200}",{}
175,0.31850695610046387,35200,"{'gen': 176, 'best_fitness': -0.6988418020371725, 'mean_fitness': -1.8955944599691998, 'pop_size': 200}",{}
176,0.320328950881958,35400,"{'gen': 177, 'best_fitness': -0.8596241386324198, 'mean_fitness': -1.9098930050778318, 'pop_size': 200}",{}
177,0.32215380668640137,35600,"{'gen': 178, 'best_fitness': -0.4374062733460788, 'mean_fitness': -1.991777988847732, 'pop_size': 200}",{}
178,0.3238966464996338,35800,"{'gen': 179, 'best_fitness': -0.6312786238589443, 'mean_fitness': -1.94433070967525, 'pop_size': 200}",{}
179,0.3256068229675293,36000,"{'gen': 180, 'best_fitness': -0.6026653809295521, 'mean_fitness': -1.9323723967058128, 'pop_size': 200}",{}
180,0.3274359703063965,36200,"{'gen': 181, 'best_fitness': -0.6852226442619085, 'mean_fitness': -1.826433496504722, 'pop_size': 200}",{}
181,0.3292708396911621,36400,"{'gen': 182, 'best_fitness': -0.6444903978017031, 'mean_fitness': -1.7260645785927307, 'pop_size': 200}",{}
182,0.33100175857543945,36600,"{'gen': 183, 'best_fitness': -0.45896160638385886, 'mean_fitness': -1.690423397045263, 'pop_size': 200}",{}
183,0.3327608108520508,36800,"{'gen': 184, 'best_fitness': -0.5795748564230343, 'mean_fitness': -1.715769256108635, 'pop_size': 200}",{}
184,0.3345777988433838,37000,"{'gen': 185, 'best_fitness': -0.6181790929021787, 'mean_fitness': -1.789606113197961, 'pop_size': 200}",{}
185,0.33640289306640625,37200,"{'gen': 186, 'best_fitness': -0.6473946840274599, 'mean_fitness': -1.8102475924703743, 'pop_size': 200}",{}
186,0.3381350040435791,37400,"{'gen': 187, 'best_fitness': -0.6865229507189017, 'mean_fitness': -1.8047028605065134, 'pop_size': 200}",{}
187,0.3399076461791992,37600,"{'gen': 188, 'best_fitness': -0.6382049717256734, 'mean_fitness': -1.8128027991409343, 'pop_size': 200}",{}
188,0.34172987937927246,37800,"{'gen': 189, 'best_fitness': -0.5810903448820947, 'mean_fitness': -1.761147528984655, 'pop_size': 200}",{}
